codigos;nombre de estudiante;email;semestre
171260;nombre1877;nombre171260@dominio.co;8
118682;nombre1648;nombre118682@dominio.co;9
197800;nombre1699;nombre197800@dominio.co;5
140329;nombre1997;nombre140329@dominio.co;5
148470;nombre1537;nombre148470@dominio.co;8
128606;nombre1922;nombre128606@dominio.co;2
118151;nombre1694;nombre118151@dominio.co;7
176129;nombre1876;nombre176129@dominio.co;6
130282;nombre1822;nombre130282@dominio.co;10
171661;nombre1754;nombre171661@dominio.co;1
119535;nombre1983;nombre119535@dominio.co;2
164702;nombre1622;nombre164702@dominio.co;1
153110;nombre1599;nombre153110@dominio.co;10
148207;nombre1565;nombre148207@dominio.co;5
126851;nombre1566;nombre126851@dominio.co;6
192948;nombre1567;nombre192948@dominio.co;7
155053;nombre1568;nombre155053@dominio.co;5
128559;nombre1569;nombre128559@dominio.co;5
162959;nombre1570;nombre162959@dominio.co;3
116456;nombre1571;nombre116456@dominio.co;7
126527;nombre1572;nombre126527@dominio.co;10
198588;nombre1573;nombre198588@dominio.co;5
154524;nombre1574;nombre154524@dominio.co;6
143106;nombre1575;nombre143106@dominio.co;3
137829;nombre1576;nombre137829@dominio.co;4
115685;nombre1577;nombre115685@dominio.co;5
164884;nombre1578;nombre164884@dominio.co;5
147951;nombre1579;nombre147951@dominio.co;6
